gene,id,z
ASAP2,3387,-3.072966
CA4,330,-3.070617
LYRM4,6655,-3.06773
NR1H2,2954,-3.066276
FMN1,9656,-3.065733
CABLES2,7699,-3.061542
RIOX2,8012,-3.059405
AFTPH,6016,-3.059003
CYP46A1,4344,-3.057365
SPHKAP,7568,-3.053062
CASQ1,376,-3.050595
DDRGK1,7194,-3.047431
SMTN,2587,-3.046812
MRPL44,7164,-3.043638
CKB,505,-3.040716
FAM83H,9584,-3.040129
BDNF-AS,9912,-3.039714
PCDHB4,6516,-3.037338
CACNA1H,3418,-3.036482
ZBED9,8451,-3.036194
C1orf115,7394,-3.027865
FASTKD5,6953,-3.024562
RNF168,9144,-3.023828
TXNRD3,8420,-3.016861
NDUFA5,1779,-3.015511
NEAT1,9472,-3.012834
CACNG8,6923,-3.011525
AVPI1,6940,-3.009089
MXI1,1735,-3.00574
RCAN2,4051,-3.003149
STN1,7484,-3.001449
EFR3B,4656,-2.999897
GPATCH2,6154,-2.998647
AMPD3,117,-2.997697
TWSG1,6636,-2.993676
KCNV1,5256,-2.99083
STARD13,8192,-2.990113
C1GALT1,6587,-2.988924
TRIM47,8221,-2.985704
DHRS7B,5116,-2.983202
CCDC91,6258,-2.982214
ANKS1A,4811,-2.981176
ANO5,9280,-2.979469
BEND6,9343,-2.979439
LYZL4,8754,-2.977079
NAP1L2,1769,-2.976578
RASGRF2,2349,-2.975482
MAN2A1,1601,-2.973231
BRSK1,7919,-2.970676
SLITRK2,7961,-2.969016
ARHGEF3,5532,-2.968679
NMNAT3,9695,-2.968469
AGMAT,7413,-2.968101
PLEKHH3,7483,-2.966468
MYBPC1,1738,-2.965875
GRIA4,1133,-2.963086
PFKFB2,2007,-2.960598
RRAS,2479,-2.959976
UBL3,2093,-2.953687
DHCR7,694,-2.952262
DLL1,5369,-2.947932
WNT5A,2999,-2.94762
PKNOX2,6975,-2.945502
ALPL,113,-2.941655
RPS6KB1,2458,-2.941503
NOS2,1848,-2.937161
SEMA6D,7500,-2.937107
ENAH,6407,-2.936757
